Cpt;Half-time [sec];M_slope;M0
1b;300;1.79275726066691;2.96235726066691
2;480;1.53515505066012;2.53515505066012
3;750;1.3846579894766;2.2464579894766
4;1110;1.2779552715655;2.0341552715655
5;1620;1.2306177701206;1.8506177701206
6;2298;1.18567702157932;1.68997702157932
7;3258;1.15035085701139;1.59135085701139
8;4620;1.12233445566779;1.52233445566779
9;6540;1.0998680158381;1.4748680158381
10;8760;1.08436347863804;1.43436347863804
11;11220;1.07307651035519;1.40257651035519
12;14340;1.0634903754121;1.3699903754121
13;18300;1.05518624037143;1.33868624037143
14;23400;1.04777870913663;1.30877870913663
15;29880;1.04144969797959;1.28944969797959
16;38100;1.03594737387341;1.26864737387341
